
t [s] (#1), Input acceleration [g] (#1)
                   0,            -0.484357
         0.000375672,            -0.484357
         0.000751344,            -0.568522
          0.00112702,            -0.181223
          0.00150269,             0.357406
          0.00187836,              0.60016
          0.00225403,             0.344171
          0.00262971,            -0.198958
          0.00300538,            -0.577454
          0.00338105,            -0.475062
          0.00375672,            0.0242153
          0.00413239,             0.504343
          0.00450807,             0.563631
          0.00488374,             0.151135
          0.00525941,            -0.388916
          0.00563508,            -0.603914
          0.00601076,            -0.312346
          0.00638643,             0.242334
           0.0067621,             0.594386
          0.00713777,             0.446796
          0.00751344,           -0.0776095
          0.00788912,            -0.537692
          0.00826479,            -0.544853
          0.00864046,           -0.0916457
          0.00901613,             0.440049
          0.00939181,             0.600386
          0.00976748,             0.252374
           0.0101432,            -0.310415
           0.0105188,             -0.61093
           0.0108945,            -0.393048
           0.0112702,             0.159539
           0.0116458,             0.577524
           0.0120215,             0.504407
           0.0123972,           0.00103105
           0.0127729,            -0.504305
           0.0131485,            -0.579931
           0.0135242,            -0.159873
           0.0138999,             0.397902
           0.0142755,             0.616046
           0.0146512,               0.3065
           0.0150269,            -0.266717
           0.0154026,            -0.612081
           0.0157782,            -0.432003
           0.0161539,             0.120169
           0.0165296,             0.570029
           0.0169053,             0.529491
           0.0172809,            0.0320417
           0.0176566,            -0.494136
           0.0180323,            -0.594343
           0.0184079,            -0.180602
           0.0187836,             0.390397
           0.0191593,             0.624271
            0.019535,             0.317133
           0.0199106,            -0.265993
           0.0202863,            -0.619212
            0.020662,            -0.434612
           0.0210376,             0.128726
           0.0214133,             0.581094
            0.021789,             0.527647
           0.0221647,             0.013515
           0.0225403,             -0.51351
            0.022916,            -0.592614
           0.0232917,            -0.153217
           0.0236674,             0.421324
            0.024043,             0.627666
           0.0244187,             0.283626
           0.0247944,             -0.31026
             0.02517,            -0.632636
           0.0255457,            -0.399028
           0.0259214,             0.186491
           0.0262971,             0.608852
           0.0266727,             0.494935
           0.0270484,           -0.0562671
           0.0274241,            -0.558893
           0.0277997,            -0.568171
           0.0281754,           -0.0744158
           0.0285511,             0.486317
           0.0289268,             0.616879
           0.0293024,             0.200083
           0.0296781,            -0.395361
           0.0300538,            -0.640447
           0.0304295,            -0.315984
           0.0308051,             0.290659
           0.0311808,             0.639393
           0.0315565,             0.418223
           0.0319321,            -0.176981
           0.0323078,            -0.615195
           0.0326835,            -0.503834
           0.0330592,            0.0589924
           0.0334348,             0.570105
           0.0338105,             0.570792
           0.0341862,            0.0589305
           0.0345618,            -0.506954
           0.0349375,            -0.617984
           0.0353132,            -0.172855
           0.0356889,             0.428956
           0.0360645,             0.645131
           0.0364402,             0.279395
           0.0368159,            -0.339523
           0.0371916,            -0.652695
           0.0375672,            -0.375781
           0.0379429,             0.242105
           0.0383186,             0.641758
           0.0386942,             0.459878
           0.0390699,            -0.140048
           0.0394456,              -0.6139
           0.0398213,            -0.530192
           0.0401969,            0.0364803
           0.0405726,             0.571065
           0.0409483,             0.585828
           0.0413239,            0.0657738
           0.0416996,            -0.515445
           0.0420753,            -0.626445
            0.042451,            -0.164252
           0.0428266,             0.449363
           0.0432023,              0.65219
            0.043578,             0.256892
           0.0439537,            -0.375173
           0.0443293,             -0.66362
            0.044705,            -0.342044
           0.0450807,             0.295178
           0.0454563,             0.661626
            0.045832,             0.418466
           0.0462077,            -0.211557
           0.0465834,            -0.647358
            0.046959,            -0.485308
           0.0473347,             0.126314
           0.0477104,             0.622145
            0.048086,             0.542077
           0.0484617,           -0.0412423
           0.0488374,            -0.587431
           0.0492131,            -0.588604
           0.0495887,           -0.0421023
           0.0499644,              0.54471
           0.0503401,             0.624999
           0.0507158,             0.122412
           0.0510914,            -0.495478
           0.0514671,            -0.651606
           0.0518428,            -0.198627
           0.0522184,             0.441189
           0.0525941,             0.668957
           0.0529698,             0.269929
           0.0533455,            -0.383216
           0.0537211,             -0.67773
           0.0540968,            -0.335728
           0.0544725,             0.322831
           0.0548481,              0.67871
           0.0552238,             0.395641
           0.0555995,            -0.261186
           0.0559752,            -0.672748
           0.0563508,            -0.449473
           0.0567265,             0.199299
           0.0571022,             0.660733
           0.0574779,              0.49719
           0.0578535,            -0.138052
           0.0582292,            -0.643563
           0.0586049,            -0.538897
           0.0589805,            0.0781907
           0.0593562,             0.622121
           0.0597319,             0.574812
           0.0601076,           -0.0203281
           0.0604832,             -0.59726
           0.0608589,            -0.605245
           0.0612346,           -0.0350473
           0.0616102,             0.569787
           0.0619859,             0.630574
           0.0623616,            0.0875619
           0.0627373,            -0.540453
           0.0631129,            -0.651227
           0.0634886,            -0.136946
           0.0638643,             0.509947
             0.06424,             0.667666
           0.0646156,             0.183022
           0.0649913,            -0.478893
            0.065367,            -0.680369
           0.0657426,            -0.225691
           0.0661183,             0.447851
            0.066494,             0.689818
           0.0668697,             0.264919
           0.0672453,            -0.417313
            0.067621,            -0.696491
           0.0679967,            -0.300729
           0.0683723,             0.387708
            0.068748,             0.700848
           0.0691237,             0.333186
           0.0694994,             -0.35941
            0.069875,             -0.70333
           0.0702507,            -0.362384
           0.0706264,             0.332736
           0.0710021,             0.704351
           0.0713777,             0.388445
           0.0717534,            -0.307954
           0.0721291,            -0.704293
           0.0725047,            -0.411499
           0.0728804,             0.285289
           0.0732561,             0.703504
           0.0736318,             0.431685
           0.0740074,            -0.264928
           0.0743831,            -0.702298
           0.0747588,            -0.449141
           0.0751344,             0.247025
